"B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","GEO_ID","NAME"
"Estimate!!Average household size --!!Total:","Margin of Error!!Average household size --!!Total:","Estimate!!Average household size --!!Total:!!Owner occupied","Margin of Error!!Average household size --!!Total:!!Owner occupied","Estimate!!Average household size --!!Total:!!Renter occupied","Margin of Error!!Average household size --!!Total:!!Renter occupied","id","Geographic Area Name"
"4.58","0.61","4.52","0.87","4.69","1.15","1400000US06037109500","Census Tract 1095, Los Angeles County, California"
"3.62","0.31","3.51","0.37","4.60","1.27","1400000US06037109601","Census Tract 1096.01, Los Angeles County, California"
"3.26","0.43","3.57","0.63","2.79","0.48","1400000US06037109603","Census Tract 1096.03, Los Angeles County, California"
"3.38","0.31","3.57","0.36","2.69","0.60","1400000US06037109604","Census Tract 1096.04, Los Angeles County, California"
"3.25","0.27","3.29","0.30","3.09","0.64","1400000US06037109700","Census Tract 1097, Los Angeles County, California"
"3.40","0.45","3.49","0.43","3.18","1.25","1400000US06037109800","Census Tract 1098, Los Angeles County, California"
"3.29","0.27","3.14","0.34","3.67","0.59","1400000US06037111100","Census Tract 1111, Los Angeles County, California"
"3.25","0.41","3.41","0.46","2.52","0.78","1400000US06037111201","Census Tract 1112.01, Los Angeles County, California"
"2.95","0.37","2.72","0.39","3.39","0.74","1400000US06037111202","Census Tract 1112.02, Los Angeles County, California"
"3.16","0.18","3.07","0.17","3.89","0.46","1400000US06037111204","Census Tract 1112.04, Los Angeles County, California"
"2.94","0.26","2.56","0.30","3.29","0.41","1400000US06037111205","Census Tract 1112.05, Los Angeles County, California"
"3.02","0.23","3.02","0.25","2.92","1.41","1400000US06037111206","Census Tract 1112.06, Los Angeles County, California"
"2.72","0.19","2.76","0.33","2.68","0.26","1400000US06037111302","Census Tract 1113.02, Los Angeles County, California"
"3.28","0.42","2.70","0.43","4.13","0.80","1400000US06037111303","Census Tract 1113.03, Los Angeles County, California"
"2.19","0.32","3.27","1.01","2.15","0.33","1400000US06037111304","Census Tract 1113.04, Los Angeles County, California"
"3.43","0.34","3.34","0.56","3.71","0.79","1400000US06037111401","Census Tract 1114.01, Los Angeles County, California"
"2.89","0.32","3.04","0.60","2.84","0.39","1400000US06037111402","Census Tract 1114.02, Los Angeles County, California"
"2.93","0.24","2.97","0.25","2.73","0.55","1400000US06037113101","Census Tract 1131.01, Los Angeles County, California"
"2.89","0.20","2.88","0.21","2.90","1.44","1400000US06037113102","Census Tract 1131.02, Los Angeles County, California"
"2.50","0.18","2.53","0.16","2.42","0.58","1400000US06037113211","Census Tract 1132.11, Los Angeles County, California"
"3.01","0.30","2.66","0.29","3.47","0.72","1400000US06037113212","Census Tract 1132.12, Los Angeles County, California"
"3.22","0.23","3.45","0.34","2.82","0.34","1400000US06037113213","Census Tract 1132.13, Los Angeles County, California"
"2.62","0.16","2.61","0.17","2.67","0.66","1400000US06037113231","Census Tract 1132.31, Los Angeles County, California"
"2.81","0.26","2.82","0.31","2.77","0.61","1400000US06037113232","Census Tract 1132.32, Los Angeles County, California"
"3.30","0.41","2.30","0.25","4.22","0.62","1400000US06037113234","Census Tract 1132.34, Los Angeles County, California"
"2.74","0.38","2.66","0.55","2.93","0.52","1400000US06037113235","Census Tract 1132.35, Los Angeles County, California"
"3.14","0.38","3.38","0.40","2.58","0.67","1400000US06037113237","Census Tract 1132.37, Los Angeles County, California"
"3.06","0.43","4.08","1.32","2.64","0.36","1400000US06037113238","Census Tract 1132.38, Los Angeles County, California"
"2.49","0.31","1.79","0.51","2.71","0.41","1400000US06037113239","Census Tract 1132.39, Los Angeles County, California"
"2.87","0.28","3.10","0.46","2.66","0.39","1400000US06037113301","Census Tract 1133.01, Los Angeles County, California"
"2.84","0.24","2.78","0.27","3.19","0.66","1400000US06037113303","Census Tract 1133.03, Los Angeles County, California"
"2.89","0.26","2.87","0.19","2.95","0.92","1400000US06037113322","Census Tract 1133.22, Los Angeles County, California"
"2.64","0.39","2.30","0.48","2.76","0.50","1400000US06037113323","Census Tract 1133.23, Los Angeles County, California"
"2.84","0.65","2.06","0.47","2.98","0.71","1400000US06037113324","Census Tract 1133.24, Los Angeles County, California"
"3.47","0.36","3.33","0.43","4.00","1.27","1400000US06037113423","Census Tract 1134.23, Los Angeles County, California"
