"B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","GEO_ID","NAME"
"Estimate!!Average household size --!!Total:","Margin of Error!!Average household size --!!Total:","Estimate!!Average household size --!!Total:!!Owner occupied","Margin of Error!!Average household size --!!Total:!!Owner occupied","Estimate!!Average household size --!!Total:!!Renter occupied","Margin of Error!!Average household size --!!Total:!!Renter occupied","id","Geographic Area Name"
"2.77","0.20","2.63","0.31","2.87","0.27","1400000US06037430723","Census Tract 4307.23, Los Angeles County, California"
"2.49","0.25","2.66","0.52","2.45","0.26","1400000US06037430724","Census Tract 4307.24, Los Angeles County, California"
"2.99","0.21","2.94","0.28","3.03","0.38","1400000US06037430801","Census Tract 4308.01, Los Angeles County, California"
"3.23","0.24","3.08","0.30","3.67","0.81","1400000US06037430802","Census Tract 4308.02, Los Angeles County, California"
"2.95","0.23","2.99","0.25","2.83","0.50","1400000US06037430803","Census Tract 4308.03, Los Angeles County, California"
"2.88","0.32","3.27","0.64","2.70","0.36","1400000US06037430901","Census Tract 4309.01, Los Angeles County, California"
"2.72","0.22","2.49","0.43","2.84","0.28","1400000US06037430902","Census Tract 4309.02, Los Angeles County, California"
"2.34","0.17","2.19","0.29","2.56","0.34","1400000US06037431002","Census Tract 4310.02, Los Angeles County, California"
"3.19","0.56","2.53","0.44","3.47","0.74","1400000US06037431003","Census Tract 4310.03, Los Angeles County, California"
"2.91","0.29","2.31","0.42","3.23","0.40","1400000US06037431004","Census Tract 4310.04, Los Angeles County, California"
"3.12","0.29","3.22","0.50","3.05","0.39","1400000US06037431100","Census Tract 4311, Los Angeles County, California"
"4.23","0.39","4.25","0.56","4.20","0.63","1400000US06037431200","Census Tract 4312, Los Angeles County, California"
"3.27","0.30","3.24","0.37","3.34","0.58","1400000US06037431300","Census Tract 4313, Los Angeles County, California"
"3.03","0.31","2.98","0.35","3.15","0.71","1400000US06037431400","Census Tract 4314, Los Angeles County, California"
"2.66","0.18","2.49","0.23","2.96","0.34","1400000US06037431501","Census Tract 4315.01, Los Angeles County, California"
"3.01","0.30","3.17","0.40","2.74","0.46","1400000US06037431502","Census Tract 4315.02, Los Angeles County, California"
"3.10","0.24","3.15","0.26","2.96","0.49","1400000US06037431600","Census Tract 4316, Los Angeles County, California"
"2.90","0.24","2.93","0.27","2.82","0.68","1400000US06037431701","Census Tract 4317.01, Los Angeles County, California"
"2.62","0.27","2.89","0.43","2.24","0.35","1400000US06037431800","Census Tract 4318, Los Angeles County, California"
"2.91","0.30","3.39","0.39","2.63","0.33","1400000US06037431900","Census Tract 4319, Los Angeles County, California"
"3.55","0.53","3.81","0.56","2.81","0.48","1400000US06037432001","Census Tract 4320.01, Los Angeles County, California"
"2.79","0.31","3.16","0.49","2.37","0.37","1400000US06037432002","Census Tract 4320.02, Los Angeles County, California"
"3.09","0.23","3.23","0.24","2.73","0.52","1400000US06037432101","Census Tract 4321.01, Los Angeles County, California"
"3.65","0.21","3.53","0.26","4.10","0.51","1400000US06037432102","Census Tract 4321.02, Los Angeles County, California"
"3.92","0.45","3.69","0.54","4.20","0.82","1400000US06037432201","Census Tract 4322.01, Los Angeles County, California"
"3.52","0.39","3.54","0.43","3.49","0.70","1400000US06037432202","Census Tract 4322.02, Los Angeles County, California"
"3.67","0.60","3.40","0.50","4.03","1.25","1400000US06037432300","Census Tract 4323, Los Angeles County, California"
"3.86","0.38","3.53","0.53","4.09","0.52","1400000US06037432401","Census Tract 4324.01, Los Angeles County, California"
"4.17","0.38","5.17","0.86","3.50","0.43","1400000US06037432402","Census Tract 4324.02, Los Angeles County, California"
"3.34","0.39","3.08","0.55","3.69","0.68","1400000US06037432501","Census Tract 4325.01, Los Angeles County, California"
"4.35","0.92","4.01","0.84","5.02","2.34","1400000US06037432502","Census Tract 4325.02, Los Angeles County, California"
"4.12","0.39","3.82","0.55","4.42","0.57","1400000US06037432601","Census Tract 4326.01, Los Angeles County, California"
"4.02","0.55","3.58","0.57","4.78","0.97","1400000US06037432602","Census Tract 4326.02, Los Angeles County, California"
"4.32","0.54","3.81","0.53","4.77","0.86","1400000US06037432700","Census Tract 4327, Los Angeles County, California"
"2.94","0.21","4.20","0.64","2.47","0.26","1400000US06037432801","Census Tract 4328.01, Los Angeles County, California"
"3.88","0.56","3.92","0.83","3.88","0.65","1400000US06037432802","Census Tract 4328.02, Los Angeles County, California"
"3.43","0.30","3.39","0.46","3.48","0.39","1400000US06037432901","Census Tract 4329.01, Los Angeles County, California"
"3.73","0.34","3.65","0.29","4.03","1.17","1400000US06037432902","Census Tract 4329.02, Los Angeles County, California"
"3.87","0.28","4.12","0.36","3.60","0.49","1400000US06037433103","Census Tract 4331.03, Los Angeles County, California"
"3.55","0.26","4.06","0.43","3.10","0.32","1400000US06037433200","Census Tract 4332, Los Angeles County, California"
"3.66","0.49","3.92","1.45","3.59","0.59","1400000US06037433302","Census Tract 4333.02, Los Angeles County, California"
"3.95","0.44","4.41","1.18","3.85","0.47","1400000US06037433304","Census Tract 4333.04, Los Angeles County, California"
"3.47","0.33","3.68","0.73","3.41","0.38","1400000US06037433305","Census Tract 4333.05, Los Angeles County, California"
"3.96","0.34","3.69","0.53","4.20","0.52","1400000US06037433306","Census Tract 4333.06, Los Angeles County, California"
"3.44","0.29","3.38","0.41","3.49","0.38","1400000US06037433307","Census Tract 4333.07, Los Angeles County, California"
"4.25","0.35","3.70","0.68","4.57","0.65","1400000US06037433402","Census Tract 4334.02, Los Angeles County, California"
"3.84","0.31","3.93","0.62","3.81","0.36","1400000US06037433403","Census Tract 4334.03, Los Angeles County, California"
"4.53","0.42","4.59","0.90","4.50","0.39","1400000US06037433505","Census Tract 4335.05, Los Angeles County, California"
"3.83","0.32","3.66","0.49","3.89","0.44","1400000US06037433506","Census Tract 4335.06, Los Angeles County, California"
"4.10","0.30","3.98","0.49","4.22","0.53","1400000US06037433601","Census Tract 4336.01, Los Angeles County, California"
"3.51","0.30","3.32","0.38","3.72","0.48","1400000US06037433602","Census Tract 4336.02, Los Angeles County, California"
"3.77","0.36","3.61","0.36","4.55","1.28","1400000US06037433803","Census Tract 4338.03, Los Angeles County, California"
"4.34","0.60","3.04","0.59","5.53","0.98","1400000US06037433804","Census Tract 4338.04, Los Angeles County, California"
"4.09","0.32","4.14","0.72","4.08","0.40","1400000US06037433901","Census Tract 4339.01, Los Angeles County, California"
"3.77","0.40","3.30","0.62","4.11","0.41","1400000US06037433903","Census Tract 4339.03, Los Angeles County, California"
"4.27","0.38","4.34","0.46","4.07","0.74","1400000US06037434001","Census Tract 4340.01, Los Angeles County, California"
"4.27","0.39","4.33","0.73","4.22","0.48","1400000US06037434003","Census Tract 4340.03, Los Angeles County, California"
"4.15","0.39","4.26","0.48","3.99","0.82","1400000US06037434004","Census Tract 4340.04, Los Angeles County, California"
"4.19","0.33","4.03","0.50","4.39","0.52","1400000US06037434100","Census Tract 4341, Los Angeles County, California"
"3.01","0.37","3.04","0.38","2.53","1.73","1400000US06037460001","Census Tract 4600.01, Los Angeles County, California"
"2.56","0.20","2.52","0.23","2.78","0.42","1400000US06037460002","Census Tract 4600.02, Los Angeles County, California"
"2.53","0.23","2.68","0.24","1.22","0.26","1400000US06037460101","Census Tract 4601.01, Los Angeles County, California"
"3.07","0.47","3.00","0.57","3.30","0.75","1400000US06037460200","Census Tract 4602, Los Angeles County, California"
"2.98","0.26","2.90","0.30","3.36","0.64","1400000US06037460301","Census Tract 4603.01, Los Angeles County, California"
"2.74","0.29","2.26","0.31","3.92","0.64","1400000US06037460302","Census Tract 4603.02, Los Angeles County, California"
"2.95","0.26","2.84","0.33","3.13","0.59","1400000US06037460401","Census Tract 4604.01, Los Angeles County, California"
"3.11","0.22","3.10","0.24","3.18","0.58","1400000US06037460501","Census Tract 4605.01, Los Angeles County, California"
"3.36","0.24","3.33","0.26","3.75","0.80","1400000US06037460502","Census Tract 4605.02, Los Angeles County, California"
"3.05","0.17","3.07","0.18","3.01","0.55","1400000US06037460601","Census Tract 4606.01, Los Angeles County, California"
"3.23","0.24","3.21","0.26","3.46","0.78","1400000US06037460700","Census Tract 4607, Los Angeles County, California"
"2.48","0.18","2.47","0.18","3.83","1.16","1400000US06037460800","Census Tract 4608, Los Angeles County, California"
"3.35","0.27","3.30","0.40","3.42","0.49","1400000US06037460900","Census Tract 4609, Los Angeles County, California"
"3.69","0.35","3.96","0.47","2.98","0.52","1400000US06037461000","Census Tract 4610, Los Angeles County, California"
"2.91","0.26","2.96","0.40","2.85","0.44","1400000US06037461100","Census Tract 4611, Los Angeles County, California"
"2.65","0.29","2.58","0.34","3.05","0.61","1400000US06037461200","Census Tract 4612, Los Angeles County, California"
"2.49","0.20","2.47","0.21","2.50","0.33","1400000US06037461300","Census Tract 4613, Los Angeles County, California"
"2.47","0.25","2.66","0.52","2.34","0.29","1400000US06037461400","Census Tract 4614, Los Angeles County, California"
"3.01","0.25","3.15","0.28","2.87","0.41","1400000US06037461501","Census Tract 4615.01, Los Angeles County, California"
"2.94","0.29","3.27","0.68","2.69","0.37","1400000US06037461502","Census Tract 4615.02, Los Angeles County, California"
"3.38","0.35","3.77","0.80","3.18","0.34","1400000US06037461600","Census Tract 4616, Los Angeles County, California"
"2.24","0.22","2.09","0.24","3.05","0.55","1400000US06037461700","Census Tract 4617, Los Angeles County, California"
"2.79","0.32","3.36","1.03","2.70","0.37","1400000US06037461901","Census Tract 4619.01, Los Angeles County, California"
"1.55","0.17","1.32","0.30","1.57","0.17","1400000US06037461902","Census Tract 4619.02, Los Angeles County, California"
"3.60","0.39","2.68","0.42","3.92","0.49","1400000US06037462001","Census Tract 4620.01, Los Angeles County, California"
"3.16","0.47","3.92","0.78","2.96","0.47","1400000US06037462002","Census Tract 4620.02, Los Angeles County, California"
"2.81","0.28","2.84","0.33","2.80","0.42","1400000US06037462100","Census Tract 4621, Los Angeles County, California"
"1.93","0.27","4.99","3.74","1.78","0.14","1400000US06037462201","Census Tract 4622.01, Los Angeles County, California"
"1.92","0.19","1.52","0.35","2.02","0.20","1400000US06037462202","Census Tract 4622.02, Los Angeles County, California"
"2.71","0.29","2.32","0.36","2.80","0.34","1400000US06037462301","Census Tract 4623.01, Los Angeles County, California"
"2.01","0.16","1.74","0.33","2.09","0.18","1400000US06037462302","Census Tract 4623.02, Los Angeles County, California"
"2.55","0.21","2.59","0.26","2.49","0.38","1400000US06037462400","Census Tract 4624, Los Angeles County, California"
"2.48","0.26","2.58","0.36","2.32","0.30","1400000US06037462500","Census Tract 4625, Los Angeles County, California"
"2.45","0.26","2.34","0.18","2.81","1.00","1400000US06037462600","Census Tract 4626, Los Angeles County, California"
"2.41","0.24","2.52","0.36","2.36","0.31","1400000US06037462700","Census Tract 4627, Los Angeles County, California"
"2.70","0.24","2.55","0.41","2.79","0.31","1400000US06037462800","Census Tract 4628, Los Angeles County, California"
"2.48","0.33","2.46","0.45","2.55","0.46","1400000US06037462900","Census Tract 4629, Los Angeles County, California"
"2.62","0.22","2.94","0.30","2.16","0.29","1400000US06037463000","Census Tract 4630, Los Angeles County, California"
"3.04","0.18","3.02","0.21","3.10","0.38","1400000US06037463103","Census Tract 4631.03, Los Angeles County, California"
"2.35","0.27","2.44","0.40","2.22","0.27","1400000US06037463200","Census Tract 4632, Los Angeles County, California"
"2.33","0.19","2.45","0.29","2.21","0.42","1400000US06037463300","Census Tract 4633, Los Angeles County, California"
"2.30","0.17","2.25","0.24","2.34","0.24","1400000US06037463400","Census Tract 4634, Los Angeles County, California"
"2.02","0.15","1.80","0.22","2.09","0.20","1400000US06037463500","Census Tract 4635, Los Angeles County, California"
"1.76","0.11","1.53","0.22","1.83","0.14","1400000US06037463601","Census Tract 4636.01, Los Angeles County, California"
"1.90","0.21","1.63","0.17","1.96","0.24","1400000US06037463602","Census Tract 4636.02, Los Angeles County, California"
"1.94","0.16","2.06","0.31","1.86","0.19","1400000US06037463700","Census Tract 4637, Los Angeles County, California"
"2.68","0.27","2.76","0.29","2.07","0.43","1400000US06037463800","Census Tract 4638, Los Angeles County, California"
"2.12","0.16","2.00","0.19","2.27","0.30","1400000US06037463900","Census Tract 4639, Los Angeles County, California"
"2.21","0.22","2.28","0.25","2.06","0.41","1400000US06037464000","Census Tract 4640, Los Angeles County, California"
"2.94","0.44","3.00","0.46","1.88","0.33","1400000US06037464101","Census Tract 4641.01, Los Angeles County, California"
"3.66","0.96","3.05","0.26","5.78","3.75","1400000US06037464102","Census Tract 4641.02, Los Angeles County, California"
"3.02","0.19","2.92","0.22","3.56","0.45","1400000US06037464200","Census Tract 4642, Los Angeles County, California"
"3.14","0.32","3.05","0.35","3.64","0.60","1400000US06037480002","Census Tract 4800.02, Los Angeles County, California"
"2.89","0.25","2.85","0.33","2.92","0.40","1400000US06037480011","Census Tract 4800.11, Los Angeles County, California"
"2.90","0.22","3.14","0.29","2.55","0.37","1400000US06037480012","Census Tract 4800.12, Los Angeles County, California"
"3.19","0.26","3.41","0.32","2.92","0.39","1400000US06037480101","Census Tract 4801.01, Los Angeles County, California"
"3.28","0.21","3.36","0.33","3.15","0.44","1400000US06037480102","Census Tract 4801.02, Los Angeles County, California"
"3.09","0.22","3.13","0.23","2.84","0.53","1400000US06037480201","Census Tract 4802.01, Los Angeles County, California"
"2.78","0.25","2.68","0.25","3.10","0.59","1400000US06037480202","Census Tract 4802.02, Los Angeles County, California"
"2.35","0.16","2.48","0.26","2.27","0.23","1400000US06037480302","Census Tract 4803.02, Los Angeles County, California"
"2.90","0.20","2.90","0.53","2.90","0.21","1400000US06037480303","Census Tract 4803.03, Los Angeles County, California"
"2.28","0.18","2.76","0.53","2.18","0.23","1400000US06037480304","Census Tract 4803.04, Los Angeles County, California"
"2.51","0.20","2.43","0.31","2.56","0.32","1400000US06037480400","Census Tract 4804, Los Angeles County, California"
"2.51","0.18","2.71","0.27","2.07","0.34","1400000US06037480500","Census Tract 4805, Los Angeles County, California"
"2.60","0.21","2.58","0.44","2.60","0.27","1400000US06037480601","Census Tract 4806.01, Los Angeles County, California"
"2.40","0.18","2.59","0.27","2.26","0.33","1400000US06037480602","Census Tract 4806.02, Los Angeles County, California"
"2.75","0.21","2.68","0.25","2.96","0.34","1400000US06037480702","Census Tract 4807.02, Los Angeles County, California"
"3.31","0.33","3.77","0.48","2.77","0.44","1400000US06037480703","Census Tract 4807.03, Los Angeles County, California"
"2.38","0.30","3.28","0.31","1.94","0.32","1400000US06037480704","Census Tract 4807.04, Los Angeles County, California"
"2.86","0.21","3.13","0.33","2.35","0.45","1400000US06037480802","Census Tract 4808.02, Los Angeles County, California"
"2.78","0.20","2.86","0.35","2.68","0.36","1400000US06037480803","Census Tract 4808.03, Los Angeles County, California"
"2.95","0.25","2.67","0.49","3.04","0.30","1400000US06037480804","Census Tract 4808.04, Los Angeles County, California"
"2.97","0.21","3.31","0.50","2.87","0.25","1400000US06037480901","Census Tract 4809.01, Los Angeles County, California"
"3.22","0.28","3.35","0.57","3.19","0.32","1400000US06037480902","Census Tract 4809.02, Los Angeles County, California"
"2.88","0.28","2.89","0.38","2.87","0.44","1400000US06037480903","Census Tract 4809.03, Los Angeles County, California"
"2.56","0.23","2.70","0.26","2.49","0.32","1400000US06037481001","Census Tract 4810.01, Los Angeles County, California"
"2.52","0.27","2.31","0.29","2.60","0.36","1400000US06037481002","Census Tract 4810.02, Los Angeles County, California"
"2.87","0.33","3.72","1.01","2.61","0.22","1400000US06037481101","Census Tract 4811.01, Los Angeles County, California"
"2.66","0.20","2.47","1.03","2.69","0.18","1400000US06037481102","Census Tract 4811.02, Los Angeles County, California"
"3.12","0.33","3.12","0.54","3.11","0.42","1400000US06037481103","Census Tract 4811.03, Los Angeles County, California"
"3.28","0.30","2.90","0.28","3.59","0.47","1400000US06037481201","Census Tract 4812.01, Los Angeles County, California"
"3.19","0.26","3.50","0.29","2.94","0.40","1400000US06037481203","Census Tract 4812.03, Los Angeles County, California"
"3.78","0.31","3.74","0.35","3.84","0.56","1400000US06037481300","Census Tract 4813, Los Angeles County, California"
"3.32","0.22","3.55","0.53","3.14","0.28","1400000US06037481401","Census Tract 4814.01, Los Angeles County, California"
"3.72","0.99","3.89","1.79","3.58","0.98","1400000US06037481403","Census Tract 4814.03, Los Angeles County, California"
"3.30","0.48","3.55","0.53","2.97","0.64","1400000US06037481404","Census Tract 4814.04, Los Angeles County, California"
"2.85","0.22","3.03","0.28","2.47","0.42","1400000US06037481500","Census Tract 4815, Los Angeles County, California"
"2.81","0.28","2.74","0.41","2.89","0.42","1400000US06037481603","Census Tract 4816.03, Los Angeles County, California"
"2.82","0.18","2.73","0.37","2.87","0.26","1400000US06037481604","Census Tract 4816.04, Los Angeles County, California"
"2.59","0.29","2.57","0.28","2.61","0.43","1400000US06037481605","Census Tract 4816.05, Los Angeles County, California"
"3.12","0.19","3.32","0.45","3.04","0.24","1400000US06037481606","Census Tract 4816.06, Los Angeles County, California"
"3.03","0.31","2.83","0.55","3.10","0.38","1400000US06037481711","Census Tract 4817.11, Los Angeles County, California"
"3.24","0.35","3.10","0.44","3.30","0.48","1400000US06037481712","Census Tract 4817.12, Los Angeles County, California"
"2.76","0.34","2.62","0.47","2.82","0.47","1400000US06037481713","Census Tract 4817.13, Los Angeles County, California"
"2.87","0.21","3.19","0.55","2.74","0.24","1400000US06037481714","Census Tract 4817.14, Los Angeles County, California"
"2.81","0.15","2.85","0.20","2.63","0.52","1400000US06037481800","Census Tract 4818, Los Angeles County, California"
"2.82","0.17","2.77","0.25","2.93","0.35","1400000US06037481901","Census Tract 4819.01, Los Angeles County, California"
"3.20","0.26","3.02","0.37","3.43","0.42","1400000US06037481902","Census Tract 4819.02, Los Angeles County, California"
"2.78","0.25","3.02","0.30","1.55","0.34","1400000US06037482001","Census Tract 4820.01, Los Angeles County, California"
"2.67","0.18","2.63","0.29","2.72","0.27","1400000US06037482002","Census Tract 4820.02, Los Angeles County, California"
"3.10","0.24","3.30","0.36","2.92","0.34","1400000US06037482101","Census Tract 4821.01, Los Angeles County, California"
"3.02","0.24","3.10","0.26","2.73","0.62","1400000US06037482102","Census Tract 4821.02, Los Angeles County, California"
"3.04","0.35","2.81","0.30","3.27","0.63","1400000US06037482201","Census Tract 4822.01, Los Angeles County, California"
"3.11","0.22","2.88","0.31","3.23","0.31","1400000US06037482202","Census Tract 4822.02, Los Angeles County, California"
"4.12","0.56","4.32","0.64","3.99","0.88","1400000US06037482301","Census Tract 4823.01, Los Angeles County, California"
"3.80","0.28","3.88","0.48","3.75","0.34","1400000US06037482303","Census Tract 4823.03, Los Angeles County, California"
"3.66","0.31","3.50","0.57","3.71","0.38","1400000US06037482304","Census Tract 4823.04, Los Angeles County, California"
"3.65","0.30","4.14","0.60","3.37","0.33","1400000US06037482401","Census Tract 4824.01, Los Angeles County, California"
"3.65","0.35","3.81","0.80","3.58","0.42","1400000US06037482403","Census Tract 4824.03, Los Angeles County, California"
"2.71","0.32","2.67","0.36","2.92","0.65","1400000US06037482404","Census Tract 4824.04, Los Angeles County, California"
"3.80","0.31","4.25","0.59","3.45","0.45","1400000US06037482502","Census Tract 4825.02, Los Angeles County, California"
"4.07","0.48","3.79","0.82","4.29","0.55","1400000US06037482503","Census Tract 4825.03, Los Angeles County, California"
"3.70","0.43","3.61","0.47","3.94","0.89","1400000US06037482521","Census Tract 4825.21, Los Angeles County, California"
"2.90","0.26","2.87","0.34","2.94","0.42","1400000US06037482522","Census Tract 4825.22, Los Angeles County, California"
"2.88","0.18","2.81","0.20","3.02","0.40","1400000US06037482600","Census Tract 4826, Los Angeles County, California"
"3.12","0.26","3.23","0.37","2.97","0.45","1400000US06037482701","Census Tract 4827.01, Los Angeles County, California"
"2.88","0.27","3.15","0.28","2.34","0.58","1400000US06037482702","Census Tract 4827.02, Los Angeles County, California"
"3.28","0.30","3.18","0.38","3.48","0.51","1400000US06037482801","Census Tract 4828.01, Los Angeles County, California"
"3.27","0.26","3.07","0.26","6.35","0.76","1400000US06037500100","Census Tract 5001, Los Angeles County, California"
"3.37","0.31","3.50","0.33","2.39","0.84","1400000US06037500202","Census Tract 5002.02, Los Angeles County, California"
"3.34","0.28","3.34","0.33","3.32","0.85","1400000US06037500203","Census Tract 5002.03, Los Angeles County, California"
"2.48","0.41","2.57","0.43","1.72","0.95","1400000US06037500204","Census Tract 5002.04, Los Angeles County, California"
"2.56","0.22","2.57","0.23","2.39","0.44","1400000US06037500300","Census Tract 5003, Los Angeles County, California"
"4.19","0.39","4.24","0.65","4.13","0.43","1400000US06037500402","Census Tract 5004.02, Los Angeles County, California"
"3.24","0.48","3.11","0.47","5.40","1.09","1400000US06037500403","Census Tract 5004.03, Los Angeles County, California"
"3.35","0.35","3.46","0.31","2.90","0.94","1400000US06037500404","Census Tract 5004.04, Los Angeles County, California"
"3.41","0.31","3.63","0.37","2.85","0.69","1400000US06037500500","Census Tract 5005, Los Angeles County, California"
"4.16","0.39","4.20","0.47","3.97","1.04","1400000US06037500600","Census Tract 5006, Los Angeles County, California"
"3.84","0.33","3.90","0.44","3.64","0.50","1400000US06037500700","Census Tract 5007, Los Angeles County, California"
"3.94","0.40","4.10","0.54","3.52","0.45","1400000US06037500800","Census Tract 5008, Los Angeles County, California"
"3.16","0.47","3.92","0.31","2.52","0.68","1400000US06037500900","Census Tract 5009, Los Angeles County, California"
"4.39","0.44","4.07","0.52","4.90","0.73","1400000US06037501001","Census Tract 5010.01, Los Angeles County, California"
"3.46","0.23","3.47","0.27","3.44","0.81","1400000US06037501002","Census Tract 5010.02, Los Angeles County, California"
"3.48","0.29","3.41","0.35","3.63","0.48","1400000US06037501200","Census Tract 5012, Los Angeles County, California"
"2.81","0.35","2.71","0.38","3.17","0.65","1400000US06037501301","Census Tract 5013.01, Los Angeles County, California"
"2.55","0.31","2.72","0.51","2.39","0.63","1400000US06037501302","Census Tract 5013.02, Los Angeles County, California"
"2.74","0.29","3.40","0.41","2.46","0.35","1400000US06037501400","Census Tract 5014, Los Angeles County, California"
"2.59","0.17","2.54","0.23","2.81","0.60","1400000US06037501501","Census Tract 5015.01, Los Angeles County, California"
"3.07","0.25","2.71","0.52","3.18","0.29","1400000US06037501503","Census Tract 5015.03, Los Angeles County, California"
"2.17","0.19","2.38","0.68","2.15","0.20","1400000US06037501504","Census Tract 5015.04, Los Angeles County, California"
"2.88","0.23","2.72","0.24","3.15","0.58","1400000US06037501600","Census Tract 5016, Los Angeles County, California"
"2.70","0.36","2.59","0.44","2.97","0.61","1400000US06037501700","Census Tract 5017, Los Angeles County, California"
"2.64","0.20","2.89","0.32","2.31","0.28","1400000US06037501802","Census Tract 5018.02, Los Angeles County, California"
"3.14","0.42","3.42","0.65","3.10","0.45","1400000US06037501803","Census Tract 5018.03, Los Angeles County, California"
"2.96","0.23","3.41","0.50","2.81","0.26","1400000US06037501804","Census Tract 5018.04, Los Angeles County, California"
"3.43","0.24","3.49","0.33","3.07","1.12","1400000US06037501900","Census Tract 5019, Los Angeles County, California"
"3.72","0.28","3.50","0.39","4.00","0.48","1400000US06037502003","Census Tract 5020.03, Los Angeles County, California"
"4.43","0.31","4.59","0.44","4.20","0.59","1400000US06037502004","Census Tract 5020.04, Los Angeles County, California"
"3.84","0.26","3.82","0.40","3.89","0.55","1400000US06037502005","Census Tract 5020.05, Los Angeles County, California"
"2.85","0.30","3.00","0.41","2.57","0.54","1400000US06037502100","Census Tract 5021, Los Angeles County, California"
"3.72","0.31","3.70","0.38","3.78","0.50","1400000US06037502200","Census Tract 5022, Los Angeles County, California"
"4.16","0.36","4.17","0.47","4.14","0.46","1400000US06037502303","Census Tract 5023.03, Los Angeles County, California"
"3.68","0.41","3.79","0.55","3.41","0.72","1400000US06037502401","Census Tract 5024.01, Los Angeles County, California"
"3.71","0.33","3.73","0.37","3.54","0.79","1400000US06037502402","Census Tract 5024.02, Los Angeles County, California"
"3.55","0.38","3.64","0.49","3.45","0.59","1400000US06037502500","Census Tract 5025, Los Angeles County, California"
"3.31","0.33","3.89","0.67","2.88","0.38","1400000US06037502602","Census Tract 5026.02, Los Angeles County, California"
"4.16","0.35","4.08","0.47","4.57","1.24","1400000US06037502603","Census Tract 5026.03, Los Angeles County, California"
"3.46","0.40","3.50","0.46","2.99","0.72","1400000US06037502604","Census Tract 5026.04, Los Angeles County, California"
"3.69","0.26","3.75","0.27","3.52","0.77","1400000US06037502700","Census Tract 5027, Los Angeles County, California"
"3.61","0.26","3.53","0.29","4.18","0.74","1400000US06037502801","Census Tract 5028.01, Los Angeles County, California"
"3.79","0.41","3.71","0.41","4.25","2.03","1400000US06037502901","Census Tract 5029.01, Los Angeles County, California"
"4.28","0.57","4.58","0.71","4.03","0.88","1400000US06037503000","Census Tract 5030, Los Angeles County, California"
"4.20","0.35","3.99","0.44","4.71","0.79","1400000US06037503103","Census Tract 5031.03, Los Angeles County, California"
"3.99","0.45","4.11","0.52","3.75","0.65","1400000US06037503104","Census Tract 5031.04, Los Angeles County, California"
"3.85","0.37","3.44","0.37","4.42","0.65","1400000US06037503105","Census Tract 5031.05, Los Angeles County, California"
"3.29","0.29","3.56","0.46","2.91","0.53","1400000US06037503106","Census Tract 5031.06, Los Angeles County, California"
"4.02","0.54","4.00","0.58","4.73","1.88","1400000US06037503201","Census Tract 5032.01, Los Angeles County, California"
"3.36","0.31","3.31","0.32","3.44","0.69","1400000US06037503202","Census Tract 5032.02, Los Angeles County, California"
"3.52","0.33","3.61","0.37","2.93","0.64","1400000US06037503301","Census Tract 5033.01, Los Angeles County, California"
"3.34","0.28","3.28","0.33","3.41","0.46","1400000US06037503302","Census Tract 5033.02, Los Angeles County, California"
"3.21","0.54","3.51","0.70","2.26","0.55","1400000US06037503401","Census Tract 5034.01, Los Angeles County, California"
"3.00","0.18","3.06","0.22","2.77","0.45","1400000US06037503402","Census Tract 5034.02, Los Angeles County, California"
"3.38","0.55","3.43","0.84","3.30","0.43","1400000US06037503501","Census Tract 5035.01, Los Angeles County, California"
"3.97","0.36","3.89","0.43","4.19","0.61","1400000US06037503502","Census Tract 5035.02, Los Angeles County, California"
"3.28","0.23","3.22","0.25","3.68","0.65","1400000US06037503601","Census Tract 5036.01, Los Angeles County, California"
"3.34","0.23","3.35","0.25","3.26","0.77","1400000US06037503602","Census Tract 5036.02, Los Angeles County, California"
"2.84","0.21","3.35","0.28","2.14","0.41","1400000US06037503701","Census Tract 5037.01, Los Angeles County, California"
"3.10","0.18","2.97","0.20","3.32","0.40","1400000US06037503702","Census Tract 5037.02, Los Angeles County, California"
"2.32","0.20","2.60","0.27","1.65","0.30","1400000US06037503704","Census Tract 5037.04, Los Angeles County, California"
"2.71","0.21","2.69","0.30","2.77","0.45","1400000US06037503705","Census Tract 5037.05, Los Angeles County, California"
"3.00","0.30","3.00","0.37","3.01","0.52","1400000US06037503801","Census Tract 5038.01, Los Angeles County, California"
"3.05","0.27","3.06","0.31","3.00","0.88","1400000US06037503802","Census Tract 5038.02, Los Angeles County, California"
"3.33","0.26","3.28","0.22","3.63","1.17","1400000US06037503901","Census Tract 5039.01, Los Angeles County, California"
"3.63","0.30","3.54","0.33","4.07","0.91","1400000US06037503902","Census Tract 5039.02, Los Angeles County, California"
"2.49","0.47","2.79","0.89","1.69","0.40","1400000US06037504001","Census Tract 5040.01, Los Angeles County, California"
"3.42","0.29","3.51","0.26","3.03","0.97","1400000US06037504002","Census Tract 5040.02, Los Angeles County, California"
"3.58","0.28","3.87","0.37","3.13","0.41","1400000US06037504101","Census Tract 5041.01, Los Angeles County, California"
"3.23","0.17","3.25","0.34","3.23","0.21","1400000US06037504200","Census Tract 5042, Los Angeles County, California"
"2.88","0.25","3.00","0.27","2.48","0.44","1400000US06037530005","Census Tract 5300.05, Los Angeles County, California"
