"B25064_001E","B25064_001M","GEO_ID","NAME"
"Estimate!!Median gross rent","Margin of Error!!Median gross rent","id","Geographic Area Name"
"1229","81","1400000US06037123010","Census Tract 1230.10, Los Angeles County, California"
"1286","210","1400000US06037123020","Census Tract 1230.20, Los Angeles County, California"
"1457","248","1400000US06037123103","Census Tract 1231.03, Los Angeles County, California"
"1269","122","1400000US06037123104","Census Tract 1231.04, Los Angeles County, California"
"1352","106","1400000US06037123203","Census Tract 1232.03, Los Angeles County, California"
"1426","93","1400000US06037123204","Census Tract 1232.04, Los Angeles County, California"
"1402","102","1400000US06037123205","Census Tract 1232.05, Los Angeles County, California"
"1162","62","1400000US06037123206","Census Tract 1232.06, Los Angeles County, California"
"1740","53","1400000US06037123301","Census Tract 1233.01, Los Angeles County, California"
"1554","151","1400000US06037123303","Census Tract 1233.03, Los Angeles County, California"
"1378","135","1400000US06037123304","Census Tract 1233.04, Los Angeles County, California"
"1387","158","1400000US06037123410","Census Tract 1234.10, Los Angeles County, California"
"1215","71","1400000US06037123420","Census Tract 1234.20, Los Angeles County, California"
"1314","104","1400000US06037123510","Census Tract 1235.10, Los Angeles County, California"
"1318","60","1400000US06037123520","Census Tract 1235.20, Los Angeles County, California"
"1405","197","1400000US06037123601","Census Tract 1236.01, Los Angeles County, California"
"1416","249","1400000US06037123602","Census Tract 1236.02, Los Angeles County, California"
"1683","88","1400000US06037123700","Census Tract 1237, Los Angeles County, California"
"1499","170","1400000US06037123800","Census Tract 1238, Los Angeles County, California"
"1527","183","1400000US06037123901","Census Tract 1239.01, Los Angeles County, California"
"1704","218","1400000US06037123902","Census Tract 1239.02, Los Angeles County, California"
"1572","251","1400000US06037124000","Census Tract 1240, Los Angeles County, California"
"1505","146","1400000US06037124102","Census Tract 1241.02, Los Angeles County, California"
"1209","137","1400000US06037124103","Census Tract 1241.03, Los Angeles County, California"
"1325","95","1400000US06037124104","Census Tract 1241.04, Los Angeles County, California"
"1367","111","1400000US06037124105","Census Tract 1241.05, Los Angeles County, California"
"1523","342","1400000US06037124201","Census Tract 1242.01, Los Angeles County, California"
"1445","131","1400000US06037124203","Census Tract 1242.03, Los Angeles County, California"
"1272","99","1400000US06037124204","Census Tract 1242.04, Los Angeles County, California"
"1318","155","1400000US06037124300","Census Tract 1243, Los Angeles County, California"
"1573","151","1400000US06037124400","Census Tract 1244, Los Angeles County, California"
"1734","97","1400000US06037124500","Census Tract 1245, Los Angeles County, California"
