"GEO_ID","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Geographic Area Name"
"1400000US06037602003","762","104","762","104","0","132","0","132","0","132","0","132","0","132","0","132","6","10","10","15","0","132","25","38","0","132","37","44","24","38","22","35","23","24","119","69","88","65","291","102","95","67","14","22","8","17","0","132","Census Tract 6020.03, Los Angeles County, California"
"1400000US06037602004","421","99","421","99","0","132","0","132","0","132","17","28","0","132","7","11","0","132","0","132","0","132","0","132","13","21","16","17","12","20","13","21","24","29","43","46","37","43","121","75","62","51","56","55","0","132","0","132","Census Tract 6020.04, Los Angeles County, California"
"1400000US06037602103","1804","150","1804","150","0","132","0","132","0","132","27","31","41","43","8","14","0","132","0","132","39","49","0","132","28","38","0","132","8","13","101","75","61","48","367","140","263","105","460","163","208","110","167","90","26","39","0","132","Census Tract 6021.03, Los Angeles County, California"
"1400000US06037602104","1421","128","1401","130","0","132","0","132","0","132","0","132","0","132","0","132","0","132","15","23","48","40","0","132","18","20","8","15","59","47","17","19","53","43","268","117","257","101","404","106","130","76","124","75","0","132","20","24","Census Tract 6021.04, Los Angeles County, California"
"1400000US06037602105","955","118","955","118","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","12","20","29","44","56","48","58","50","125","83","108","58","278","107","141","70","140","75","8","14","0","132","Census Tract 6021.05, Los Angeles County, California"
"1400000US06037602106","1734","134","1720","137","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","71","75","18","21","73","59","76","76","101","85","153","94","257","119","330","114","415","123","141","98","71","69","14","21","14","23","Census Tract 6021.06, Los Angeles County, California"
"1400000US06037602200","990","188","990","188","31","49","0","132","0","132","0","132","38","59","0","132","0","132","0","132","38","57","14","24","0","132","17","28","26","31","12","20","15","23","65","44","132","86","270","134","24","29","198","109","110","58","0","132","Census Tract 6022, Los Angeles County, California"
"1400000US06037602301","488","126","432","96","0","132","0","132","0","132","11","17","0","132","0","132","0","132","0","132","0","132","0","132","0","132","10","18","19","23","11","16","25","29","5","11","63","54","80","54","85","56","35","34","88","73","56","72","Census Tract 6023.01, Los Angeles County, California"
"1400000US06037602302","120","58","108","58","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","8","13","0","132","0","132","0","132","0","132","7","11","31","36","26","38","36","27","12","19","Census Tract 6023.02, Los Angeles County, California"
"1400000US06037602402","1146","191","1126","199","0","132","0","132","13","22","0","132","0","132","0","132","0","132","0","132","0","132","0","132","9","17","44","70","0","132","30","34","91","80","186","136","226","123","277","137","53","46","107","70","90","86","20","32","Census Tract 6024.02, Los Angeles County, California"
"1400000US06037602403","1371","123","1350","122","0","132","29","45","0","132","0","132","0","132","17","25","0","132","41","46","8","12","27","25","10","15","0","132","18","30","29","35","86","62","265","88","159","72","294","100","256","101","55","37","56","59","21","24","Census Tract 6024.03, Los Angeles County, California"
