ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
90017,LOS ANGELES,5144012061,2021,13264,5144-012-061,770 S GRAND AVENUE  LOS ANGELES CA  90017,R-I,0551,Residential,Five or More Units or Apartments (Any Combination),5 Stories or More,Pool,1,2016,2016,634863,0,0,700,20170828,72007331.00,2018,333613266.00,2018,405620597.00,0.00,0.00,0.00,0.00,2855319.00,0.00,Y,408475916.00,0.00,408475916.00,,23,23408,"POR MR 2-280,POR MB 379-40,POR MR 3-15, POR TR=6626,POR MB 5-194,POR MR 17-109",770,,S,GRAND AVENUE,,LOS ANGELES CA,90017,20215144012061,34.046065210000002,-118.25690409000001,"(34.04606521, -118.25690409)"
90017,LOS ANGELES,5144006039,2021,00211,5144-006-039,"655 S HOPE ST, NO   608  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1964,2000,820,1,1,1,20151218,338479.00,2016,213806.00,2016,552285.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,552285.00,0.00,552285.00,,09,09296,TR=67656 LOT 1 CONDO UNIT 8 (AIRSPACE AND 1/81 INT IN COMMON AREA),655,,S,HOPE ST,NO   608,LOS ANGELES CA,90017,20215144006039,34.048372319999999,-118.25769099,"(34.04837232, -118.25769099)"
90017,LOS ANGELES,5143019123,2021,00067,5143-019-123,"1234 WILSHIRE BLVD, NO   403  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,1140,2,2,1,20150716,196855.00,2016,398085.00,2016,594940.00,7000.00,0.00,0.00,0.00,0.00,0.00,Y,594940.00,7000.00,587940.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 100 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   403,LOS ANGELES CA,90017,20215143019123,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143027023,2021,00067,5143-027-023,"1010 WILSHIRE BLVD, NO   107  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,1220,1,1,1,20061002,14827.00,2005,209162.00,2008,223989.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,223989.00,0.00,223989.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 107 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   107,LOS ANGELES CA,90017,20215143027023,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5143019096,2021,00067,5143-019-096,"1234 WILSHIRE BLVD, NO   316  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,990,2,2,1,20200901,200000.00,2021,410000.00,2021,610000.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,610000.00,0.00,610000.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 73 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   316,LOS ANGELES CA,90017,20215143019096,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143019167,2021,00067,5143-019-167,"1234 WILSHIRE BLVD, NO   507  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,1280,2,2,1,20070315,226000.00,2007,478000.00,2007,704000.00,7000.00,0.00,0.00,0.00,0.00,0.00,Y,704000.00,7000.00,697000.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 144 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   507,LOS ANGELES CA,90017,20215143019167,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143019068,2021,00067,5143-019-068,"1234 WILSHIRE BLVD, NO   227  LOS ANGELES CA  90017",CND,010C,Residential,Single Family Residence,,Condominium,1,2006,2006,1130,1,2,1,20070906,192000.00,2008,454000.00,2008,646000.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,646000.00,0.00,646000.00,,09,09392,TR=65289 LOT 1 CONDO UNIT 45 (AIRSPACE AND 1/198 INT IN COMMON AREA),1234,,,WILSHIRE BLVD,NO   227,LOS ANGELES CA,90017,20215143019068,34.053079830000001,-118.26609978,"(34.05307983, -118.26609978)"
90017,LOS ANGELES,5143027084,2021,00067,5143-027-084,"1010 WILSHIRE BLVD, NO   507  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1960,2000,740,1,1,1,20061002,14827.00,2005,126867.00,2008,141694.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,141694.00,0.00,141694.00,,23,23498,TR=62400 POR LOT 1 CONDO UNIT 507 (AIRSPACE AND 1/227 INT IN COMMON AREA),1010,,,WILSHIRE BLVD,NO   507,LOS ANGELES CA,90017,20215143027084,34.051509609999997,-118.26222476,"(34.05150961, -118.26222476)"
90017,LOS ANGELES,5144006061,2021,00211,5144-006-061,"655 S HOPE ST, NO   907  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1964,2000,930,2,2,1,20190508,384401.00,2019,384401.00,2019,768802.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,768802.00,0.00,768802.00,,09,09296,TR=67656 LOT 1 CONDO UNIT 30 (AIRSPACE AND 1/81 INT IN COMMON AREA),655,,S,HOPE ST,NO   907,LOS ANGELES CA,90017,20215144006061,34.048372319999999,-118.25769099,"(34.04837232, -118.25769099)"
90017,LOS ANGELES,5144006044,2021,00211,5144-006-044,"655 S HOPE ST, NO   705  LOS ANGELES CA  90017",CND,01HE,Residential,Single Family Residence,High Rise 5 Stories or More,Condo Conversion,1,1964,2000,1130,2,2,1,20130409,339016.00,2013,341292.00,2013,680308.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,680308.00,0.00,680308.00,,09,09296,TR=67656 LOT 1 CONDO UNIT 13 (AIRSPACE AND 1/81 INT IN COMMON AREA),655,,S,HOPE ST,NO   705,LOS ANGELES CA,90017,20215144006044,34.048372319999999,-118.25769099,"(34.04837232, -118.25769099)"
